ID,latitude,longitude,source,title,PMID,DOI,locality
0,9.8068333,-10.8632667,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
1,9.9127167,-10.7981333,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
2,10.0597667,-10.58615,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
3,10.2168333,-10.6887667,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
4,10.1431667,-10.60505,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
5,9.8408333,-11.04,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
6,9.9422667,-10.8930333,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
7,10.0578167,-10.7383667,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
8,9.9768167,-0.81955,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
9,10.0567833,-10.6658333,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
10,10.0004,-10.9727778,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
11,9.95445,-10.7318833,Litterature,Spatial and temporal evolution of Lassa virus in the natural host population in Upper Guinea,26911443,10.1038/srep21977.,
12,7.5438889,4.5131111,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
13,7.6906389,4.6193889,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
14,7.7013056,4.6553889,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
15,6.7729722,6.0923611,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
16,6.7414167,6.1048889,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
17,7.6409722,8.4065556,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
18,8.8242222,10.9208889,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
19,7.0918889,11.0910833,Litterature,"Arenavirus Diversity and Phylogeography of Mastomys natalensis Rodents, Nigeria",26982388,10.3201/eid2204.150155,
20,8.02,-11.58,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
21,8.05,-11.11,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
22,8.21,-11.09,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
23,8.18,-11.08,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
24,8.04,-11.06,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
25,7.82,-10.95,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
26,8.17,-11.23,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
27,8.28,-11.01,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
28,7.69,-5.62737,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
29,8,-10.95,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
30,8.025266,-11.757479,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
31,8.26,-11.02,Litterature,"Sequence variability and geographic distribution of Lassa virus, Sierra Leone",25811712,10.3201/eid2104.141469,
33,9.45997,-5.62737,Litterature,"Lassa Virus in Multimammate Rats, Côte d'Ivoire, 2013",26196447,10.3201/eid2108.150312,
34,7.6792468,-5.0288473,Litterature,"Lassa Virus in Multimammate Rats, Côte d'Ivoire, 2014",26196447,10.3201/eid2108.150313,
35,5.8718574,-7.4563475,Litterature,"Lassa Virus in Multimammate Rats, Côte d'Ivoire, 2015",26196447,10.3201/eid2108.150314,
36,11.033333,-5.983333,Litterature,"Detection of Lassa virus, Mali",20587185,10.3201/eid1607.100146,
37,10.583333,-7.15,Litterature,"Detection of Lassa virus, Mali",20587185,10.3201/eid1607.100147,
38,12.8058333,-7.9833333,Litterature,"Detection of Lassa virus, Mali",20587185,10.3201/eid1607.100148,
39,15.0236111,-2.8486111,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
41,14.3808333,-3.5683333,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
45,14.0155556,-4.2311111,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
46,14.3552778,-3.6572222,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
48,14.4002778,-3.6005556,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
49,10.8894444,-7.3877778,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
50,13.2008333,-9.4538889,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
51,13.3825,-4.9166667,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
53,12.805,-7.9802778,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
55,12.6980556,-8.6980556,Litterature,Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali,24340119,10.1371/journal.pntd.0002582,
