segment_S,accession_S,country,admin1,location,latitude,longitude
AF181854|las803213|Human|Nigeria|1974-02,AF181854,NGA,Anambra,Onitsha,6.166667,6.783333
AF182220|las803214|Human|Nigeria|1974,AF182220,NGA,Anambra,Onitsha,6.166667,6.783333
AF182221|las806316|Human|Nigeria|1989,AF182221,NGA,Edo,Ekpoma,6.75,6.133333
AF182222|las808031|Human|Nigeria|1994,AF182222,NGA,Edo,Ekpoma,6.75,6.133333
AF182223|las806320|Human|Nigeria|1989,AF182223,NGA,Edo,Ekpoma,6.75,6.133333
AF182225|las806321|Human|Nigeria|1989,AF182225,NGA,Imo,Owerri,5.485,7.035
AF182226|las806322|Human|Nigeria|1989,AF182226,NGA,Imo,Owerri,5.485,7.035
AF182227|las803787|Human|Nigeria|1981,AF182227,NGA,,,NA,NA
AF182228|las806791|Human|Nigeria|1993,AF182228,NGA,Plateau,Jos,9.916667,8.890278
AF182229|las803210|Human|Nigeria|1975,AF182229,NGA,Plateau,Vom,9.737692,8.808975
AF182230|las803212|Human|Nigeria|1976,AF182230,NGA,Plateau,Vom,9.737692,8.808975
AF182232|las803208|Human|Nigeria|1975,AF182232,NGA,Kaduna,Zonkwa,9.783333,8.283333
AF182233|las802662|Human|Sierra_Leone|1980,AF182233,SLE,Kailahun,Niahun,NA,NA
AF182235|las803205|Human|Sierra_Leone|1976,AF182235,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182237|las9607290|Human|Sierra_Leone|1996,AF182237,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182239|las801105|Mouse|Sierra_Leone|1978,AF182239,SLE,Kailahun,Konia,NA,NA
AF182244|las801108|Mouse|Sierra_Leone|1978,AF182244,SLE,Kailahun,Konia,NA,NA
AF182245|las807875|Mouse|Sierra_Leone|1982,AF182245,SLE,,,NA,NA
AF182246|las807976|Human|Sierra_Leone|1977,AF182246,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182247|las803211|Human|Sierra_Leone|1972,AF182247,SLE,Kenema,Panguma,8.184479,-11.134313
AF182250|las803206|Human|Sierra_Leone|1976,AF182250,SLE,Kenema,Panguma,8.184479,-11.134313
AF182252|las9607300|Human|Sierra_Leone|1996,AF182252,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182253|las801100|Mouse|Sierra_Leone|1978,AF182253,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182254|las806843|Human|Sierra_Leone|1993,AF182254,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182255|las9607302|Human|Sierra_Leone|1996,AF182255,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182256|las803972|Human|Sierra_Leone|1982,AF182256,SLE,Kailahun,Mano,NA,NA
AF182257|las807974|Human|Sierra_Leone|1976,AF182257,SLE,Kailahun,Mobai,7.9935681,-10.7537466
