segment_S,accession_S,country,admin1,location,latitude,longitude
AF181854|las803213|Human|Nigeria|1974-02,AF181854,NGA,Anambra,Onitsha,6.166667,6.783333
AF182220|las803214|Human|Nigeria|1974,AF182220,NGA,Anambra,Onitsha,6.166667,6.783333
AF182221|las806316|Human|Nigeria|1989,AF182221,NGA,Edo,Ekpoma,6.75,6.133333
AF182222|las808031|Human|Nigeria|1994,AF182222,NGA,Edo,Ekpoma,6.75,6.133333
AF182223|las806320|Human|Nigeria|1989,AF182223,NGA,Edo,Ekpoma,6.75,6.133333
AF182225|las806321|Human|Nigeria|1989,AF182225,NGA,Imo,Owerri,5.485,7.035
AF182226|las806322|Human|Nigeria|1989,AF182226,NGA,Imo,Owerri,5.485,7.035
AF182228|las806791|Human|Nigeria|1993,AF182228,NGA,Plateau,Jos,9.916667,8.890278
AF182229|las803210|Human|Nigeria|1975,AF182229,NGA,Plateau,Vom,9.737692,8.808975
AF182230|las803212|Human|Nigeria|1976,AF182230,NGA,Plateau,Vom,9.737692,8.808975
AF182232|las803208|Human|Nigeria|1975,AF182232,NGA,Kaduna,Zonkwa,9.783333,8.283333
AF182235|las803205|Human|Sierra_Leone|1976,AF182235,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182237|las9607290|Human|Sierra_Leone|1996,AF182237,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182246|las807976|Human|Sierra_Leone|1977,AF182246,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182247|las803211|Human|Sierra_Leone|1972,AF182247,SLE,Kenema,Panguma,8.184479,-11.134313
AF182250|las803206|Human|Sierra_Leone|1976,AF182250,SLE,Kenema,Panguma,8.184479,-11.134313
AF182252|las9607300|Human|Sierra_Leone|1996,AF182252,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182253|las801100|Mouse|Sierra_Leone|1978,AF182253,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182254|las806843|Human|Sierra_Leone|1993,AF182254,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182255|las9607302|Human|Sierra_Leone|1996,AF182255,SLE,Kenema,Tongo,8.2188562,-11.0604289
AF182257|las807974|Human|Sierra_Leone|1976,AF182257,SLE,Kailahun,Mobai,7.9935681,-10.7537466
AF182265|las807998|Human|Guinea|1997,AF182265,GIN,Nzerekore,Nzerekore,7.758615,-8.815928
AF182267|las807992|Human|Guinea|1997,AF182267,GIN,Faranah,Kissidougou,9.192085,-10.113945
AF182269|las807868|Human|Guinea|1996,AF182269,GIN,Faranah,Faranah,10.045385,-10.750165
AF182270|las808255|Mouse|Guinea|1996,AF182270,GIN,Faranah,Faranah,10.045385,-10.750165
AF182272|las9608911|Human|Nigeria|1996,AF182272,NGA,Plateau,Jos,9.916667,8.890278
AF333969|CSF|Human|NIG|2000-03-28,AF333969,NGA,Plateau,Jos,9.916667,8.890278
