Excell_order,remark,accession_L,segment_L,accession_S,segment_S,IV_passages,host,country,admin1,location,latitude-old,longitude-old,latitude,longitude,is_same,precision,source,reference,comment_1,comment_2,duplicate_excluded,non_suitable_strain_excluded,kept_in_L_aln,kept_in_S_aln
1,S < 500 nt,,,MF317932,MF317932|Nig14-00711|Human|BEN|2014-11,0,Homo_sapiens,BEN,,,,,,,NO,country,,Omilabu et al.unpublished,,,0,0,,0
2,Z protein,MK656390,MK656390|LASV_3604|Mn|CIV|2015-8-28,MK656414,MK656414|LASV_3604|Mn|CIV|2015-8-28,0,Mastomys_natalensis,CIV,,,,,9.29,5.42,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Z protein - MK656403,NP protein - MK656427,0,0,,
3,Z protein,MK656391,MK656391|LASV_3609|Mn|CIV|2015-8-28,MK656415,MK656415|LASV_3609|Mn|CIV|2015-8-28,0,Mastomys_natalensis,CIV,,,,,9.29,5.42,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656404,NP protein - MK656428,0,0,,
4,Z protein,MK656392,MK656392|LASV_3625|Mn|CIV|2015-8-29,MK656416,MK656416LASV_3625|Mn|CIV|2015-8-29,0,Mastomys_natalensis,CIV,,,,,9.29,5.42,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656405,NP protein - MK656429,0,0,,
5,Z protein,MK656393,MK656393|LASV_3629|Mn|CIV|2015-8-29,MK656417,MK656417|LASV_3629|Mn|CIV|2015-8-29,0,Mastomys_natalensis,CIV,,,,,9.29,5.42,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656406,NP protein - MK656430,0,0,,
6,Z protein,MK656394,MK656394|LASV_3630|Mn|CIV|2015-8-29,MK656418,MK656418|LASV_3630|Mn|CIV|2015-8-29,0,Mastomys_natalensis,CIV,,,,,9.29,5.42,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656407,NP protein - MK656431,0,0,,
7,Z protein,MK656395,MK656395|LASV_R124|Mn|CIV|2013-8-20,MK656419,MK656419|LASV_R124|Mn|CIV|2013-8-20,0,Mastomys_natalensis,CIV,,,,,9.29,5.44,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656408,NP protein - MK656432,0,0,,
8,Z protein,MK656396,MK656396|LASV_R132|Mn|CIV|2013-8-22,MK656420,MK656420|LASV_R132|Mn|CIV|2013-8-22,0,Mastomys_natalensis,CIV,,,,,9.29,5.44,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656409,NP protein - MK656433,0,0,,
9,Z protein,MK656397,MK656397|LASV_CIV139|Mn|CIV|2013-8-22,MK656421,MK656421|LASV_CIV139|Mn|CIV|2013-8-22,0,Mastomys_natalensis,CIV,,,,,9.29,5.44,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656410,NP protein - MK656434,0,0,,
10,Z protein,MK656401,MK656401|LASV_3523|Mn|CIV|2015-8-24,MK656422,MK656422|LASV_3523|Mn|CIV|2015-8-24,0,Mastomys_natalensis,CIV,,,,,9.29,5.44,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656441,NP protein - MK656435,0,0,,
11,Z protein,MK656398,MK656398|LASV_3706|Mn|CIV|2015-9-7,MK656423,MK656423|LASV_3706|Mn|CIV|2015-9-7,0,Mastomys_natalensis,CIV,,,,,9.38,6.29,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656411,NP protein - MK656436,0,0,,
12,Z protein,MK656402,MK656402|LASV_3711|Mn|CIV|2015-9-7,MK656424,MK656424|LASV_3711|Mn|CIV|2015-9-7,0,Mastomys_natalensis,CIV,,,,,9.38,6.29,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656440,NP protein - MK656437,0,0,,
13,Z protein,MK656399,MK656399|LASV_3713|Mn|CIV|2015-9-7,MK656425,MK656425|LASV_3713|Mn|CIV|2015-9-7,0,Mastomys_natalensis,CIV,,,,,9.38,6.29,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656412,NP protein - MK656438,0,0,,
14,Z protein,MK656400,MK656400|LASV_3715|Mn|CIV|2015-9-7,MK656426,MK656426|LASV_3715|Mn|CIV|2015-9-7,0,Mastomys_natalensis,CIV,,,,,9.38,6.29,NO,coordinates_GenBank,,Escalera-Zamudio et al. unpublished,Zprotein - MK656413,NP protein - MK656439,0,0,,
